Variant,N core rows,Equation,Horizon (days),Regressor,N,Date clusters,Beta,SE (cluster-by-date),p (cluster-by-date),SE (Driscoll-Kraay),p (Driscoll-Kraay),SE (month block bootstrap),Predicted sign (P1),Sign check
alt_D_winsor_mean,9415,outcome=L,30,L,9265,1853,-0.042600366795946344,0.006498189996921436,7.159009042956746e-11,0.027008828470537174,0.11490290140308096,0.025880403449983644,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=D,1,L,9410,1882,0.013263317814990086,0.002455864398810544,7.481929851448015e-08,0.0022139320833589986,2.49526641408191e-09,0.003398592999871795,-,"WRONG SIGN (predicted -, got +)"
alt_D_winsor_mean,9415,outcome=D,1,S,9410,1882,-0.06496776756130174,0.012466401698889858,2.0796429606357754e-07,0.013520177221195598,1.6681481726919224e-06,0.0192986829536778,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=D,1,D,9410,1882,-0.4059714039334293,0.010311204430301592,8.303391416009708e-248,0.012310756548561144,1.3385038596817124e-188,0.019208026437476815,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=D,7,L,9380,1876,0.019453350120873566,0.0026384361662619856,2.489552094058173e-13,0.003928164398276704,7.99303949216961e-07,0.004763959254542496,-,"WRONG SIGN (predicted -, got +)"
alt_D_winsor_mean,9415,outcome=D,7,S,9380,1876,-0.0937556302421447,0.014331915024212258,7.821185007316514e-11,0.020802047759707176,6.979792963363401e-06,0.02597583914064179,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=D,7,D,9380,1876,-0.5363428466258502,0.010831557287040411,0.0,0.016927083417674217,7.899313528660623e-177,0.027241354721699942,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=D,14,L,9345,1869,0.022201917690414796,0.0027317191813038687,7.891437117420848e-16,0.005147660597109396,1.694499358222461e-05,0.005220580220732591,-,"WRONG SIGN (predicted -, got +)"
alt_D_winsor_mean,9415,outcome=D,14,S,9345,1869,-0.10135674470367229,0.014542789031691117,4.3922854174005365e-12,0.024142530383483643,2.8160671738978984e-05,0.025105384654975204,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=D,14,D,9345,1869,-0.5890987730372667,0.011134746598860943,0.0,0.020089169004822247,8.266670060710216e-156,0.024151940085548714,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=D,30,L,9265,1853,0.028621865982067014,0.002724355248736554,4.0616983521080162e-25,0.006597098114825306,1.5114936743418815e-05,0.006877560858708222,-,"WRONG SIGN (predicted -, got +)"
alt_D_winsor_mean,9415,outcome=D,30,S,9265,1853,-0.11510761484366253,0.014998892785057267,2.669844462183418e-14,0.031062692382167537,0.00021703606569826718,0.030112859689010563,(no prior),n/a (no P1 prior)
alt_D_winsor_mean,9415,outcome=D,30,D,9265,1853,-0.6443073999793312,0.01185654577800853,0.0,0.02801188185462652,3.4734829452306945e-103,0.028710922103251452,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=S,1,L,9410,1882,0.022413776303981926,0.0015138518386839449,5.342105349536324e-47,0.0015330315404372828,6.223363714135158e-46,0.0024234202502207893,+,"MATCH (p<.05, DK)"
alt_D_q1k,9415,outcome=S,1,D,9410,1882,-0.017080212238259215,0.006836516123458048,0.01256100472919524,0.007213966392592592,0.01800168712183603,0.00983122628477325,-,"MATCH (p<.05, DK)"
alt_D_q1k,9415,outcome=S,1,S,9410,1882,-0.3905444993826771,0.018032156680951004,4.713534321789595e-93,0.019174291448076915,1.692542033623363e-83,0.02516277425093767,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=S,7,L,9380,1876,0.02614341823520831,0.0016113416565526784,1.6968808040311885e-55,0.0022822628858806863,2.0584077116905804e-29,0.0030122196343734765,+,"MATCH (p<.05, DK)"
alt_D_q1k,9415,outcome=S,7,D,9380,1876,-0.01079190599563636,0.0065065381145611185,0.09735866035498868,0.00813406749225552,0.18475165126381424,0.010976966491387843,-,sign matches but not sig. (DK p=0.185)
alt_D_q1k,9415,outcome=S,7,S,9380,1876,-0.5117215443238067,0.017989028791186367,2.8254090257980654e-148,0.021315238833552585,2.81863419834226e-111,0.02740751844708288,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=S,14,L,9345,1869,0.0268898463312854,0.0017116113601669074,2.472119465814965e-52,0.0029559162524642932,2.31221782396996e-19,0.0032426931415354696,+,"MATCH (p<.05, DK)"
alt_D_q1k,9415,outcome=S,14,D,9345,1869,-0.013528312774089783,0.006999152281107205,0.05340564258215129,0.010762250908075612,0.2089052848515069,0.01482289288607577,-,sign matches but not sig. (DK p=0.209)
alt_D_q1k,9415,outcome=S,14,S,9345,1869,-0.5690118324629565,0.017617367294820697,3.263523934320771e-182,0.027910407923303304,1.3934894398806075e-83,0.03462916879011133,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=S,30,L,9265,1853,0.026861344001552077,0.001629837509085618,4.7299236212769707e-57,0.0036247545713578013,1.9025996980773724e-13,0.003988890567847028,+,"MATCH (p<.05, DK)"
alt_D_q1k,9415,outcome=S,30,D,9265,1853,-0.013639807271023064,0.0075384244568490015,0.07055544287990008,0.012818718850367247,0.28744301362765556,0.014184499765128616,-,sign matches but not sig. (DK p=0.287)
alt_D_q1k,9415,outcome=S,30,S,9265,1853,-0.6400342840300651,0.015715170373558428,1.7036642694063294e-259,0.028694446968859727,8.186452054060048e-98,0.028528894631524207,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=L,1,S,9410,1882,0.018933562238842072,0.009080308886079476,0.03719266460373411,0.009454327665707135,0.045359827944270716,0.009302734468838668,+,"MATCH (p<.05, DK)"
alt_D_q1k,9415,outcome=L,1,D,9410,1882,0.002622784578710499,0.005740696870958157,0.647813185912951,0.004857052468374909,0.5892643273489888,0.007094559907694104,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=L,1,L,9410,1882,-0.009027589501727374,0.002934284274656885,0.002124005881385409,0.003119272208763518,0.0038458657375615934,0.00325366863186106,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=L,7,S,9380,1876,0.038286275668441026,0.011376041160149043,0.0007794121954132179,0.014663134538094907,0.009098248809670258,0.013105933603960425,+,"MATCH (p<.05, DK)"
alt_D_q1k,9415,outcome=L,7,D,9380,1876,-0.023987443973733195,0.015438172392246112,0.12040689557051659,0.021231303666358368,0.25869872570310926,0.01952717441704229,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=L,7,L,9380,1876,-0.01842165719716471,0.004178365574462897,1.0982279445364553e-05,0.007611179771315534,0.015600405447306134,0.009260328702153918,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=L,14,S,9345,1869,0.049177827439755586,0.014777135275122625,0.0008918077509914328,0.024685987746571145,0.04650155746105491,0.027806245062629253,+,"MATCH (p<.05, DK)"
alt_D_q1k,9415,outcome=L,14,D,9345,1869,-0.06208545139132493,0.02049398788706675,0.0024836096566237024,0.037187535595530084,0.0951813009392122,0.04241779200929777,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=L,14,L,9345,1869,-0.026286932544525205,0.005320535666107492,8.480597290010317e-07,0.014242357130203678,0.06509582631717893,0.01472660270290681,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=L,30,S,9265,1853,0.08608920205024358,0.015409161721024548,2.654699298769981e-08,0.0346943952213183,0.013176445943297803,0.035338384906792024,+,"MATCH (p<.05, DK)"
alt_D_q1k,9415,outcome=L,30,D,9265,1853,-0.11081279062844995,0.02538515386977494,1.339774277979944e-05,0.0668448083176263,0.09753484849233046,0.06334221062503602,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=L,30,L,9265,1853,-0.04142185198531486,0.006430843190855108,1.5074624328056514e-10,0.026592180581092664,0.11948226327957273,0.02553878878596973,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=D,1,L,9410,1882,0.010072584322509109,0.0030287741243938755,0.0008991539607858796,0.0030608109211404926,0.0010174238162974775,0.004422435478544282,-,"WRONG SIGN (predicted -, got +)"
alt_D_q1k,9415,outcome=D,1,S,9410,1882,-0.013956082606873877,0.005531891785804886,0.01172296268714637,0.00577234027112517,0.015711250462324428,0.0077256970263716975,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=D,1,D,9410,1882,-0.620437468493761,0.037790260145167155,1.0333005050555535e-56,0.040747562213227534,1.8528250360332036e-49,0.056510732343983745,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=D,7,L,9380,1876,0.011638095742319478,0.0029667794244634888,9.067821155588891e-05,0.004009926227810074,0.0037473294272875593,0.004615177343837714,-,"WRONG SIGN (predicted -, got +)"
alt_D_q1k,9415,outcome=D,7,S,9380,1876,-0.019141533951650143,0.00538842898778946,0.0003912560390050311,0.007491378065994308,0.010692787092681608,0.009299068395553452,(no prior),n/a (no P1 prior)
alt_D_q1k,9415,outcome=D,7,D,9380,1876,-0.6403402810185241,0.03622898365666644,8.766698074236106e-65,0.039798578107947825,1.1613091297833916e-54,0.033754016730030846,(no prior),n/a (no P1 prior)
