date,legs,routes,single_leg_routes,multi_leg_routes,round_trip_routes,economic_multileg_routes,cross_venue_routes,cross_venue_share,cross_venue_usd_share,cross_venue_share_unfiltered,cross_venue_usd_share_unfiltered,round_trip_share_of_multileg,round_trip_usd_share_of_multileg,economic_multileg_usd,cross_venue_usd,total_usd,venues_active
2023-02-08,216282,165882,126276,39606,3624,35982,7901,0.21958201322883664,0.43807339545230645,0.26639903044993185,0.5704234281750113,0.09150128768368429,0.39821941669642524,257707951.26417392,112894997.24535418,1452764020.4127865,5
2023-02-09,196620,150886,115637,35249,3928,31321,6750,0.21551036046103253,0.4844618080739284,0.2728020653068172,0.5713014924847113,0.11143578541235212,0.31707159333092766,336276052.3116275,162912904.314854,1934171180.2734094,5
2023-02-10,177956,136583,105007,31576,3355,28221,6311,0.22362779490450374,0.4033511035603051,0.2740372434760578,0.2893819443182601,0.1062515834811249,0.5131563451921775,343643622.9335706,138609034.54171708,2018071868.538293,5
2023-02-11,148804,115711,89875,25836,2616,23220,5307,0.2285529715762274,0.4130332378637444,0.2786422046756464,0.2720136311577585,0.10125406409660938,0.6524851067399791,165976689.33075142,68553889.40418506,1151729039.7259638,5
2023-02-12,165172,126644,97548,29096,3169,25927,6336,0.2443784471786169,0.38311081687260545,0.2960200714874897,0.464424239313099,0.10891531481990652,0.3640350959051253,166524535.34252015,63797350.76440395,964941866.6508172,5
2023-02-13,166551,127117,98038,29079,3753,25326,6410,0.25309958145779043,0.5072427795067177,0.3155541799924344,0.4984866030798095,0.12906220984215414,0.2799163818021171,388659709.46046805,197144831.30900115,2368284358.500202,5
2023-02-14,162242,125311,96691,28620,3226,25394,5407,0.21292431282980231,0.39652303927875976,0.26474493361285817,0.4176053155181595,0.11271837875611461,0.21810340727648253,313337254.493379,124245440.47097686,1682116970.737,5
2023-02-15,189646,145685,111681,34004,3114,30890,5625,0.18209776626740046,0.33708783656142727,0.22862016233384308,0.3907921127225095,0.09157746147512058,0.1166317874828881,424962584.56685966,143249718.2511953,1668456228.029393,5
2023-02-16,194065,151256,118445,32811,3114,29697,5805,0.1954742903323568,0.42163658554242184,0.24522263874919997,0.5300825405529416,0.09490719575752034,0.21766688033278533,404343910.1697588,170486185.66884884,2150503278.269369,5
2023-02-17,156793,123196,97006,26190,2550,23640,5185,0.219331641285956,0.4016541689029081,0.2695685376097747,0.44819686137499204,0.09736540664375716,0.1603601862083008,301574707.549886,121128738.52308702,1645429407.617165,5
2023-02-18,146117,113277,87537,25740,2326,23414,5606,0.2394294012129495,0.3866402335975321,0.2836052836052836,0.4770594122204883,0.09036519036519036,0.2804015055512725,169929919.54482198,65701743.788019806,891497473.98997,5
2023-02-19,173744,131480,100158,31322,3289,28033,6865,0.2448899511290265,0.34462185019461916,0.29953387395440906,0.4465402326009372,0.10500606602388098,0.20667654463343296,267283445.68997085,92111715.58007076,1189907389.385467,5
2023-02-20,152614,117349,90734,26615,3126,23489,5501,0.23419472944782666,0.34674542915332135,0.29941762164193125,0.5249539507059532,0.11745256434341536,0.2967922630892415,215623745.59102178,74766548.20060542,1163408370.0146258,5
2023-02-21,155072,119307,92417,26890,3460,23430,5130,0.21895006402048656,0.29127063150755045,0.2909631833395314,0.4278827818513446,0.12867236891037562,0.2112453195043354,267803900.3598256,78003411.17799152,1475689887.0448866,5
2023-02-22,154619,119377,92964,26413,3135,23278,5450,0.23412664318240398,0.37306607722181967,0.299170862832696,0.46798460777387185,0.118691553401734,0.2197685516882414,247443402.12195033,92312739.3640573,1441366288.3488526,5
